ticker,error_type,error_message,timestamp,retry_count
GVA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:18:22.344522,1
EPSN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:18:25.981455,1
MNTS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:18:26.044203,1
MRCC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:18:26.095594,1
BSCT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:26:09.681714,1
FTXN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:26:09.714574,1
NBIX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:26:09.904943,1
CPS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:26:09.931070,1
FLGT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:26:13.725061,1
HCMAU,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:26:13.759068,1
HBANP,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:26:13.951523,1
AERO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:26:13.987987,1
WGO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:33:56.184999,1
GFR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:33:56.275010,1
IOVA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:33:56.497256,1
DAPP,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:33:56.554907,1
BOKF,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:34:00.203767,1
IBAT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:34:00.310084,1
SLDB,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:34:00.506753,1
RCD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:41:43.479149,1
CASS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:41:43.543407,1
ESLAW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:41:43.698821,1
CURI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:41:43.768826,1
CISO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:41:47.507055,1
ANVS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:41:47.589827,1
MMKT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:41:47.726824,1
QLDY,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T14:41:47.806267,1
ALRM,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:44:52.519883,1
QUMSU,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:44:52.598066,1
TPB,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:44:52.813328,1
MYCM,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:44:52.847841,1
SELX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:44:56.569701,1
UI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:44:56.636718,1
HVMCW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:44:56.883141,1
EOI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:44:56.907975,1
OFSSH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:52:47.239883,1
IAE,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:52:47.270378,1
BZH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:52:47.311590,1
WTBA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:52:47.649113,1
NTZ,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:52:51.260267,1
UCFI,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:52:51.303562,1
SBSW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T16:52:51.351027,1
GGROW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:00:40.977162,1
ESNT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:00:41.010173,1
AVTX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:00:41.201690,1
BLD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:00:41.243330,1
SHC,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:00:45.024004,1
XIFR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:00:45.059382,1
RVMD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:00:45.230382,1
G,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:00:45.296816,1
CMCO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:31.960540,1
MLACR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:31.992361,1
SVRN,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:32.019361,1
FIGR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:32.049012,1
TSLS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:36.012624,1
AUB,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:36.036276,1
METCB,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:36.064270,1
TRNR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:08:36.104270,1
FCRX,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:24.106025,1
GTBP,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:24.144610,1
TRAK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:24.168614,1
MRAL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:24.198339,1
UK,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:28.151006,1
MYD,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:28.186503,1
AIPO,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:28.220944,1
NMS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:16:28.249959,1
VRTL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:14.053974,1
TGNA,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:14.083612,1
NCIQ,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:14.114427,1
FBRT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:14.473640,1
NYT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:18.090125,1
NCTY,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:18.113823,1
PMTW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:24:18.164977,1
EFAS,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:04.855439,1
GNT,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:04.895526,1
AACBU,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:04.941056,1
BFRIW,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:04.994536,1
LSTR,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:08.907824,1
PRTH,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:08.934652,1
INSG,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:08.970999,1
NWGL,YFRateLimitError,Too Many Requests. Rate limited. Try after a while.,2026-02-02T17:32:09.019000,1
